disco08_code,automation_risk,augmentation_potential,source,dataset,period,source_url,crosswalk_url,mapping_confidence,onet_occupation_count,transformation
212,0.402344,0.856615,"U.S. Department of Labor, Employment and Training Administration",O*NET 31.0 Work Activities + O*NET-ESCO crosswalk,August 2026,https://www.onetcenter.org/database.html,https://www.onetcenter.org/crosswalks/esco/ESCO_to_ONET-SOC.xlsx,MEDIUM,17,"O*NET 31.0 importance ratings normalized from 1-5 to 0-1. Automation pressure = clamp(0.10 + 0.75 * top-four information activity mean - 0.60 * top-four human/physical safeguard mean, 0.05, 0.85). Augmentation potential = clamp(0.15 + 0.65 * top-four cognitive activity mean + 0.25 * information activity mean - 0.20 * top-three physical activity mean, 0.10, 0.95). Occupation scores are aggregated to the DISCO/ISCO group median through the O*NET-ESCO crosswalk."
214,0.299219,0.743167,"U.S. Department of Labor, Employment and Training Administration",O*NET 31.0 Work Activities + O*NET-ESCO crosswalk,August 2026,https://www.onetcenter.org/database.html,https://www.onetcenter.org/crosswalks/esco/ESCO_to_ONET-SOC.xlsx,MEDIUM,128,"O*NET 31.0 importance ratings normalized from 1-5 to 0-1. Automation pressure = clamp(0.10 + 0.75 * top-four information activity mean - 0.60 * top-four human/physical safeguard mean, 0.05, 0.85). Augmentation potential = clamp(0.15 + 0.65 * top-four cognitive activity mean + 0.25 * information activity mean - 0.20 * top-three physical activity mean, 0.10, 0.95). Occupation scores are aggregated to the DISCO/ISCO group median through the O*NET-ESCO crosswalk."
216600,0.292797,0.755214,"U.S. Department of Labor, Employment and Training Administration",O*NET 31.0 Work Activities + O*NET-ESCO crosswalk,August 2026,https://www.onetcenter.org/database.html,https://www.onetcenter.org/crosswalks/esco/ESCO_to_ONET-SOC.xlsx,MEDIUM,14,"O*NET 31.0 importance ratings normalized from 1-5 to 0-1. Automation pressure = clamp(0.10 + 0.75 * top-four information activity mean - 0.60 * top-four human/physical safeguard mean, 0.05, 0.85). Augmentation potential = clamp(0.15 + 0.65 * top-four cognitive activity mean + 0.25 * information activity mean - 0.20 * top-three physical activity mean, 0.10, 0.95). Occupation scores are aggregated to the DISCO/ISCO group median through the O*NET-ESCO crosswalk."
221100,0.253094,0.840094,"U.S. Department of Labor, Employment and Training Administration",O*NET 31.0 Work Activities + O*NET-ESCO crosswalk,August 2026,https://www.onetcenter.org/database.html,https://www.onetcenter.org/crosswalks/esco/ESCO_to_ONET-SOC.xlsx,MEDIUM,7,"O*NET 31.0 importance ratings normalized from 1-5 to 0-1. Automation pressure = clamp(0.10 + 0.75 * top-four information activity mean - 0.60 * top-four human/physical safeguard mean, 0.05, 0.85). Augmentation potential = clamp(0.15 + 0.65 * top-four cognitive activity mean + 0.25 * information activity mean - 0.20 * top-three physical activity mean, 0.10, 0.95). Occupation scores are aggregated to the DISCO/ISCO group median through the O*NET-ESCO crosswalk."
222,0.193984,0.780641,"U.S. Department of Labor, Employment and Training Administration",O*NET 31.0 Work Activities + O*NET-ESCO crosswalk,August 2026,https://www.onetcenter.org/database.html,https://www.onetcenter.org/crosswalks/esco/ESCO_to_ONET-SOC.xlsx,MEDIUM,11,"O*NET 31.0 importance ratings normalized from 1-5 to 0-1. Automation pressure = clamp(0.10 + 0.75 * top-four information activity mean - 0.60 * top-four human/physical safeguard mean, 0.05, 0.85). Augmentation potential = clamp(0.15 + 0.65 * top-four cognitive activity mean + 0.25 * information activity mean - 0.20 * top-three physical activity mean, 0.10, 0.95). Occupation scores are aggregated to the DISCO/ISCO group median through the O*NET-ESCO crosswalk."
232000,0.173781,0.76476,"U.S. Department of Labor, Employment and Training Administration",O*NET 31.0 Work Activities + O*NET-ESCO crosswalk,August 2026,https://www.onetcenter.org/database.html,https://www.onetcenter.org/crosswalks/esco/ESCO_to_ONET-SOC.xlsx,MEDIUM,17,"O*NET 31.0 importance ratings normalized from 1-5 to 0-1. Automation pressure = clamp(0.10 + 0.75 * top-four information activity mean - 0.60 * top-four human/physical safeguard mean, 0.05, 0.85). Augmentation potential = clamp(0.15 + 0.65 * top-four cognitive activity mean + 0.25 * information activity mean - 0.20 * top-three physical activity mean, 0.10, 0.95). Occupation scores are aggregated to the DISCO/ISCO group median through the O*NET-ESCO crosswalk."
241100,0.332688,0.786651,"U.S. Department of Labor, Employment and Training Administration",O*NET 31.0 Work Activities + O*NET-ESCO crosswalk,August 2026,https://www.onetcenter.org/database.html,https://www.onetcenter.org/crosswalks/esco/ESCO_to_ONET-SOC.xlsx,MEDIUM,20,"O*NET 31.0 importance ratings normalized from 1-5 to 0-1. Automation pressure = clamp(0.10 + 0.75 * top-four information activity mean - 0.60 * top-four human/physical safeguard mean, 0.05, 0.85). Augmentation potential = clamp(0.15 + 0.65 * top-four cognitive activity mean + 0.25 * information activity mean - 0.20 * top-three physical activity mean, 0.10, 0.95). Occupation scores are aggregated to the DISCO/ISCO group median through the O*NET-ESCO crosswalk."
241200,0.310281,0.790448,"U.S. Department of Labor, Employment and Training Administration",O*NET 31.0 Work Activities + O*NET-ESCO crosswalk,August 2026,https://www.onetcenter.org/database.html,https://www.onetcenter.org/crosswalks/esco/ESCO_to_ONET-SOC.xlsx,MEDIUM,15,"O*NET 31.0 importance ratings normalized from 1-5 to 0-1. Automation pressure = clamp(0.10 + 0.75 * top-four information activity mean - 0.60 * top-four human/physical safeguard mean, 0.05, 0.85). Augmentation potential = clamp(0.15 + 0.65 * top-four cognitive activity mean + 0.25 * information activity mean - 0.20 * top-three physical activity mean, 0.10, 0.95). Occupation scores are aggregated to the DISCO/ISCO group median through the O*NET-ESCO crosswalk."
251200,0.361937,0.81374,"U.S. Department of Labor, Employment and Training Administration",O*NET 31.0 Work Activities + O*NET-ESCO crosswalk,August 2026,https://www.onetcenter.org/database.html,https://www.onetcenter.org/crosswalks/esco/ESCO_to_ONET-SOC.xlsx,MEDIUM,11,"O*NET 31.0 importance ratings normalized from 1-5 to 0-1. Automation pressure = clamp(0.10 + 0.75 * top-four information activity mean - 0.60 * top-four human/physical safeguard mean, 0.05, 0.85). Augmentation potential = clamp(0.15 + 0.65 * top-four cognitive activity mean + 0.25 * information activity mean - 0.20 * top-three physical activity mean, 0.10, 0.95). Occupation scores are aggregated to the DISCO/ISCO group median through the O*NET-ESCO crosswalk."
261100,0.272969,0.793161,"U.S. Department of Labor, Employment and Training Administration",O*NET 31.0 Work Activities + O*NET-ESCO crosswalk,August 2026,https://www.onetcenter.org/database.html,https://www.onetcenter.org/crosswalks/esco/ESCO_to_ONET-SOC.xlsx,MEDIUM,8,"O*NET 31.0 importance ratings normalized from 1-5 to 0-1. Automation pressure = clamp(0.10 + 0.75 * top-four information activity mean - 0.60 * top-four human/physical safeguard mean, 0.05, 0.85). Augmentation potential = clamp(0.15 + 0.65 * top-four cognitive activity mean + 0.25 * information activity mean - 0.20 * top-three physical activity mean, 0.10, 0.95). Occupation scores are aggregated to the DISCO/ISCO group median through the O*NET-ESCO crosswalk."
