UDDANNELSE;SEKTOR;AFLOEN;LONGRP;LØNMÅL;KØN;TID;INDHOLD
I alt;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2019;330,35
I alt;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2020;337,36
I alt;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2021;342,53
I alt;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2022;354,25
I alt;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2023;368,42
I alt;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2024;386,62
H10 Grundskole;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2019;263,29
H10 Grundskole;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2020;268,37
H10 Grundskole;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2021;272,42
H10 Grundskole;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2022;280,74
H10 Grundskole;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2023;291,78
H10 Grundskole;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2024;304,93
H1001 Ingen uddannelse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2019;222,77
H1001 Ingen uddannelse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2020;231,92
H1001 Ingen uddannelse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2021;238,93
H1001 Ingen uddannelse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2022;246,44
H1001 Ingen uddannelse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2023;255,69
H1001 Ingen uddannelse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2024;269,52
H1010 Grundskole til og med 6. klasse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2019;227,27
H1010 Grundskole til og med 6. klasse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2020;233,12
H1010 Grundskole til og med 6. klasse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2021;238,47
H1010 Grundskole til og med 6. klasse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2022;247,23
H1010 Grundskole til og med 6. klasse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2023;257,03
H1010 Grundskole til og med 6. klasse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2024;269,20
H1020 Grundskole 7.-9. klasse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2019;257,88
H1020 Grundskole 7.-9. klasse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2020;263,66
H1020 Grundskole 7.-9. klasse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2021;268,46
H1020 Grundskole 7.-9. klasse;Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2022;277,20
