AUDD,UDDANNELSESNIVEAU,FAGOMRAADE_UNDER,UDDANNELSESTYPE_UNDER,ISCED_P,ISCED_F,PRIA,KOMP,HOVEDOMRAADE_DETALJERET
0,90,991010,9910,999,9999,0,0,90992010
1,10,995010,9920,999,9999,0,0,10011010
2,90,993010,9910,999,9999,0,0,90993010
141,50,251010,4510,551,0220,0,0,40241010
144,50,351010,4510,551,0300,0,0,40381010
145,50,551010,4510,551,0700,0,0,40581010
146,50,555010,4510,551,0721,0,0,40751010
148,50,801010,4510,551,1041,0,0,40859510
150,60,202010,6010,651,0111,0,0,50201010
151,60,251010,6010,651,0220,0,0,50241010
152,60,301010,6010,651,0210,0,0,50301010
153,60,451010,6010,651,0500,0,0,50751010
154,60,351010,6010,651,0300,0,0,50381010
155,60,551010,6010,651,0700,0,0,50581010
156,60,453015,6010,651,0518,0,0,50751010
159,60,651010,6010,651,0900,0,0,50891010
161,60,251010,5030,641,0220,0,0,60251010
162,60,301010,5030,641,0210,0,0,60301010
163,60,451010,5030,641,0500,0,0,60351010
164,60,351010,5030,641,0300,0,0,60391010
165,60,551010,5030,641,0700,0,0,60591010
167,60,601010,5030,641,0800,0,0,60801010
170,70,202010,7510,741,0111,0,0,70201010
171,70,251010,7510,741,0220,0,0,70251010
172,70,301010,7510,741,0210,0,0,70301010
173,70,451010,7510,741,0500,0,0,70351010
174,70,351010,7510,741,0300,0,0,70391010
175,70,551010,7510,741,0700,0,0,70591010
176,70,453015,7510,741,0518,0,0,70759510
177,70,601010,7510,741,0800,0,0,70801010
179,70,651010,7510,741,0900,0,0,70901010
200,10,101010,1510,100,0011,84,2,10101020
205,20,102010,1520,241,0011,108,2,10201020
210,20,102010,1520,244,0011,132,1,10201020
215,30,121030,2040,344,0011,156,1,20305010
220,30,656525,8590,351,0922,0,8,39101510
239,30,401010,8590,351,0410,0,8,39152510
253,30,581010,8590,351,0730,0,8,39351010
254,30,571010,8590,351,0715,0,8,39553525
255,30,271010,8590,351,0211,0,8,39453010
258,30,551010,8590,351,0700,0,8,39551060
260,30,701010,8590,351,1000,0,8,39155010
275,30,555010,8590,351,0721,0,8,39202030
280,30,601010,8590,351,0800,0,8,39254010
285,30,801010,8590,351,1041,0,8,39654010
290,30,651010,8590,351,0900,0,8,39101010
299,30,981020,8520,351,9999,0,8,39903010
300,30,981010,3020,353,9999,168,3,30971010
320,30,656525,3090,353,0922,150,3,30101010
339,30,401010,3090,353,0410,168,3,30151010
353,30,581010,3090,353,0730,176,3,30351010
354,30,571010,3090,353,0715,180,3,30551010
355,30,271010,3090,353,0211,180,3,30451010
