UDD,UDDANNELSESNIVEAU,FAGOMRAADE_UNDER,UDDANNELSESTYPE_UNDER,ISCED_P,ISCED_F,OMR,MINI,PRIO,TP,L,HOVEDOMRAADE_DETALJERET,UNDERVISNINGSSPROG
0,90,991010,9910,999,9999,0,0,0,0,0,90992010,1
1,10,995010,9920,999,9999,9,0,0,0,0,10011010,1
2,90,993010,9910,999,9999,0,0,0,0,0,90993010,1
141,50,251010,4510,551,0220,0,0,0,0,0,40241010,1
144,50,351010,4510,551,0300,0,0,0,0,0,40381010,1
145,50,551010,4510,551,0700,0,0,0,0,0,40581010,1
146,50,555010,4510,551,0721,0,0,0,0,0,40751010,1
148,50,801010,4510,551,1041,0,0,0,0,0,40859510,1
150,60,202010,6010,651,0111,0,0,0,0,0,50201010,1
151,60,251010,6010,651,0220,0,0,0,0,0,50241010,1
152,60,301010,6010,651,0210,0,0,0,0,0,50301010,1
153,60,451010,6010,651,0500,0,0,0,0,0,50751010,1
154,60,351010,6010,651,0300,0,0,0,0,0,50381010,1
155,60,551010,6010,651,0700,0,0,0,0,0,50581010,1
156,60,453015,6010,651,0518,0,0,0,0,0,50751010,1
159,60,651010,6010,651,0900,0,0,0,0,0,50891010,1
161,60,251010,5030,641,0220,0,0,0,0,0,60251010,1
162,60,301010,5030,641,0210,0,0,0,0,0,60301010,1
163,60,451010,5030,641,0500,0,0,0,0,0,60351010,1
164,60,351010,5030,641,0300,0,0,0,0,0,60391010,1
165,60,551010,5030,641,0700,0,0,0,0,0,60591010,1
167,60,601010,5030,641,0800,0,0,0,0,0,60801010,1
170,70,202010,7510,741,0111,0,0,0,0,0,70201010,1
171,70,251010,7510,741,0220,0,0,0,0,0,70251010,1
172,70,301010,7510,741,0210,0,0,0,0,0,70301010,1
173,70,451010,7510,741,0500,0,0,0,0,0,70351010,1
174,70,351010,7510,741,0300,0,0,0,0,0,70391010,1
175,70,551010,7510,741,0700,0,0,0,0,0,70591010,1
176,70,453015,7510,741,0518,0,0,0,0,0,70759510,1
177,70,601010,7510,741,0800,0,0,0,0,0,70801010,1
179,70,651010,7510,741,0900,0,0,0,0,0,70901010,1
200,10,101010,1510,100,0011,9,0,12,1,0,10101020,1
205,20,102010,1520,241,0011,9,0,84,1,0,10201020,1
210,20,102010,1520,244,0011,9,0,108,1,0,10201020,1
215,30,121030,2040,344,0011,9,0,120,1,0,20305010,1
220,30,656525,8590,351,0922,9,0,0,1,0,39101510,1
239,30,401010,8590,351,0410,9,0,0,1,0,39152510,1
253,30,581010,8590,351,0730,9,0,0,1,0,39351010,1
254,30,571010,8590,351,0715,9,0,0,1,0,39553525,1
255,30,271010,8590,351,0211,9,0,0,1,0,39453010,1
258,30,551010,8590,351,0700,9,0,0,1,0,39551060,1
260,30,701010,8590,351,1000,9,0,0,1,0,39155010,1
275,30,555010,8590,351,0721,9,0,0,1,0,39202030,1
280,30,601010,8590,351,0800,9,0,0,1,0,39254010,1
285,30,801010,8590,351,1041,9,0,0,1,0,39654010,1
290,30,651010,8590,351,0900,9,0,0,1,0,39101010,1
299,30,981020,8520,351,9999,19,1,0,1,3,39903010,1
300,30,981010,3020,353,9999,9,1,120,2,4,30971010,1
320,30,656525,3090,353,0922,9,0,132,2,0,30101010,1
339,30,401010,3090,353,0410,9,0,132,2,0,30151010,1
353,30,581010,3090,353,0730,9,0,132,2,0,30351010,1
354,30,571010,3090,353,0715,9,0,132,2,0,30551010,1
355,30,271010,3090,353,0211,9,0,132,2,0,30451010,1
358,30,551010,3090,353,0700,9,0,132,2,0,30551010,1
360,30,701010,3090,353,1000,9,0,132,2,0,30155010,1
375,30,555010,3090,353,0721,9,0,132,2,0,30205010,1
380,30,601010,3090,353,0800,9,0,132,2,0,30254010,1
385,30,801010,3090,353,1041,9,0,132,2,0,30651010,1
390,30,651010,3090,353,0900,9,0,132,2,0,30102010,1
400,50,981010,4510,554,9999,9,10,156,2,2,40971010,1
425,50,251010,4510,554,0220,9,0,156,1,0,40241010,1
430,50,301010,4510,554,0210,9,0,156,1,0,40301010,1
439,50,401010,4510,554,0410,9,0,156,2,0,40381010,1
459,50,551010,4510,554,0700,9,0,156,1,0,40581010,1
475,50,555010,4510,554,0721,9,0,156,1,0,40751010,1
480,50,601010,4510,554,0800,9,0,156,1,0,40801010,1
485,50,801010,4510,554,1041,9,0,156,1,0,40859510,1
490,50,651010,4510,554,0900,9,0,156,2,0,40891010,1
495,50,751510,4510,554,1032,9,0,156,2,0,40951010,1
500,60,981010,6010,655,9999,9,10,156,1,1,50971010,1
520,60,202010,6010,665,0111,9,0,156,2,0,50201010,1
525,60,251010,6010,665,0220,9,0,156,2,0,50241010,1
530,60,301010,6010,665,0210,9,0,156,1,0,50301010,1
539,60,351010,6010,665,0300,9,0,156,1,0,50381010,1
545,60,451010,6010,665,0500,9,0,156,1,0,50751010,1
559,60,551010,6010,665,0700,9,0,156,1,0,50581010,1
575,60,453015,6010,665,0518,9,0,156,1,0,50751010,1
580,60,601010,6010,665,0800,9,0,144,2,0,50801010,1
585,60,801010,6010,665,1041,9,0,156,2,0,50589520,1
590,60,651010,6010,665,0900,9,0,156,2,0,50891010,1
595,60,751010,6010,665,1031,9,0,156,2,0,50951010,1
600,70,981010,7510,767,9999,9,0,156,1,1,70971010,1
620,70,202010,7510,767,0111,9,0,156,1,0,70201010,1
625,70,251010,7510,767,0220,9,0,156,1,0,70251010,1
630,70,301010,7510,767,0210,9,0,156,1,0,70301010,1
639,70,351010,7510,767,0300,9,0,156,1,0,70391010,1
