UDD,AUDD,NRMA,AKTIV,ORD
0,0,0,1,0
1,1,0,1,0
2,2,0,1,0
141,141,0,0,0
144,144,0,0,0
145,145,0,0,0
146,146,0,0,0
148,148,0,0,0
150,150,0,0,0
151,151,0,0,0
152,152,0,0,0
153,153,0,0,0
154,154,0,0,0
155,155,0,0,0
156,156,0,0,0
159,159,0,0,0
161,161,0,0,0
162,162,0,0,0
163,163,0,0,0
164,164,0,0,0
165,165,0,0,0
167,167,0,0,0
170,170,0,0,0
171,171,0,0,0
172,172,0,0,0
173,173,0,0,0
174,174,0,0,0
175,175,0,0,0
176,176,0,0,0
177,177,0,0,0
179,179,0,0,0
200,200,72,1,0
205,205,24,1,0
210,210,24,1,0
215,215,36,1,0
220,220,0,1,0
239,239,0,1,0
253,253,0,1,0
254,254,0,1,0
255,255,0,1,0
258,258,0,1,0
260,260,0,1,0
275,275,0,1,0
280,280,0,1,0
285,285,0,1,0
290,290,0,1,0
299,299,0,1,8
300,300,48,1,0
320,320,18,1,0
339,339,36,1,0
353,353,44,1,0
354,354,48,1,0
355,355,48,1,0
358,358,36,1,0
360,360,42,1,0
375,375,40,1,0
380,380,40,1,0
385,385,36,1,0
390,390,30,1,0
400,400,24,1,0
425,425,24,1,0
430,430,36,1,0
439,439,24,1,0
459,459,24,1,0
475,475,24,1,0
480,480,24,1,0
485,485,24,1,0
490,490,24,1,0
495,495,24,1,0
500,500,42,1,0
520,520,36,1,0
525,525,42,1,0
530,530,42,1,0
539,539,36,1,0
545,545,48,1,0
559,559,42,1,0
575,575,42,1,0
580,580,57,1,0
585,585,36,1,0
590,590,48,1,0
595,595,30,1,0
600,600,60,1,0
620,620,60,1,0
625,625,60,1,0
630,630,60,1,0
639,639,60,1,0
645,645,60,1,0
659,659,60,1,0
675,675,60,1,0
680,680,60,1,0
690,690,60,1,0
695,695,49,1,0
700,700,36,1,0
702,702,36,1,0
703,703,36,1,0
704,704,36,1,0
705,705,36,1,0
706,706,36,1,0
707,707,36,1,0
708,708,36,1,0
709,709,36,1,0
720,720,36,1,0
721,721,36,1,0
