education_code,period,salary_value,salary_measure,salary_unit,source,dataset,source_url
H10,2019,263.29,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H10,2020,268.37,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H10,2021,272.42,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H10,2022,280.74,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H10,2023,291.78,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H10,2024,304.93,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1001,2019,222.77,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1001,2020,231.92,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1001,2021,238.93,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1001,2022,246.44,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1001,2023,255.69,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1001,2024,269.52,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1010,2019,227.27,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1010,2020,233.12,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1010,2021,238.47,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1010,2022,247.23,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1010,2023,257.03,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1010,2024,269.20,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1020,2019,257.88,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1020,2020,263.66,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1020,2021,268.46,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1020,2022,277.20,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1020,2023,288.38,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1020,2024,301.92,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1030,2019,270.18,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1030,2020,274.42,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1030,2021,277.86,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1030,2022,286.05,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1030,2023,297.07,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H1030,2024,309.82,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H20,2019,279.38,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H20,2020,279.04,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H20,2021,279.54,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H20,2022,286.66,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
H20,2023,295.15,FORTJENESTE PR. PRÆSTERET TIME,DKK per præsteret time,Danmarks Statistik,LONS11,https://www.statistikbanken.dk/LONS11
